Name,key_mlbam
Willie Bunn,820283
Louis Burgee,820282
Edgar Burch,820281
Walter Burch,820280
Ralph Burgin,820278
Ernest Burke,820277
P. Burgess,820275
P. Burgett,820274
Joe Burke,820271
Samuel Burris,820267
Willie Burnham,820266
Tex Burnett,820265
Willie Burns,820264
Bill Burton,820263
Dick Burton,820261
Jim Busby,820260
Sammy Burton,820258
Maurice Busby,820255
Luis Bustamante,820254
Herbert Buster,820253
Ed Butler,820250
Tommy Butts,820249
Subby Byas,820248
Bill Byrd,820247
Ollie Byrd,820244
Cyril Byron,820242
Lorenzo Cabrera,820236
Rafael Cabrera,820234
Luis Cabrera,820233
Joe Cade,820228
Marion Cain,820227
Lefty Calhoun,820226
Benito Calderón,820225
Evelio Calderín,820224
Roland Calhoun,820220
Bullet Campbell,820208
David Campbell,820207
Bobby Campbell,820206
Roberto Campos,820204
Emmet Campbell,820203
Joe Campbell,820202
Joe Campini,820201
Jim Canada,820199
Genaro Camps,820196
Tatica Campos,820195
Richard Cannon,820194
Walter Cannady,820192
Avelino Cañizares,820190
Denio Canton,820188
Esterio Caraballo,820187
Lefty Capers,820186
Sylvester Carlisle,820182
Matt Carlisle,820180
Francisco Cárdenas,820179
Cliff Carr,820173
Johnny Carr,820171
Wayne Carr,820170
George Carr,820169
Clemente Carreras,820165
Bernardo Carrillo,820164
Frank Carswell,820159
Alfred Carter,820157
Cliff Carter,820155
Bill Carter,820154
Charley Carter,820153
Paul Carter,820152
Jim Carter,820151
Lee Carter,820150
Marlin Carter,820148
Kid Carter,820147
Kid Cary,820146
Spoon Carter,820145
William Carter,820142
Joe Casey,820140
Bill Cash,820136
John Cason,820134
Mickey Casey,820133
Julián Castillo,820129
Joe Cates,820125
Luis Castro,820123
Willie Cathey,820118
Armando Celada,820117
Goldie Cephus,820115
Pelayo Chacón,820111
Rube Chambers,820110
Leonardo Chapman,820107
Edward Chapman,820106
Babe Charter,820103
Red Charleston,820101
Porter Charleston,820100
Bennie Charleston,820099
George Cheatham,820095
Edgar Chatman,820094
Son Childs,820090
Andy Childs,820089
Oscar Childs,820088
David Chester,820087
Eli Chism,820086
John Chisum,820084
Thad Christopher,820083
Cleveland Clark,820076
Albert Clark,820073
Alex Clark,820072
Dell Clark,820070
Maceo Clark,820068
Calvin Clarke,820065
Ray Clark,820064
Bob Clarke,820062
Sensation Clark,820061
Morten Clark,820060
Lefty Clay,820059
Jimmy Claxton,820057
Zack Clayton,820054
Duke Cleveland,820053
Luther Clifford,820052
Ralph Cleage,820050
W. Cobb,820047
Lorenza Cobb,820046
William Clinton,820045
James Coachman,820044
Jimmy Cockerham,820042
Jim Cohen,820041
Pancho Coimbre,820040
Phil Cockrell,820038
Archie Cole,820037
Carlos Colás,820035
Cecil Cole,820034
José Colás,820033
Gilbert Coleman,820032
Ralph Coles,820030
Melvin Coleman,820029
Clarence Coleman,820028
Bob Collier,820026
George Collins,820020
Gene Collins,820019
Atkins Collins,820018
Eddie Collins,820017
Alex Colthirst,820016
Jack Combs,820015
Sonny Collins,820014
Jim Colzie,820012
Monchile Concepción,820010
Chief Connell,820007
Rafael Concepción,820005
Cornelius Cook,820002
Jimmy Cooke,819997
Army Cooper,819993
Anthony Cooper,819992
Bill Cooper,819991
Andy Cooper,819990
Alex Cooper,819989
Sam Cooper,819988
Tom Cooper,819987
Champ Cooper,819986
Darltie Cooper,819985
James Cooper,819984
Pete Córdova,819983
Charles Corbett,819979
Willie Cornelius,819978
Francisco Correa,819977
Harry Cornett,819975
Aurelio Cortés,819973
Ramón Couto,819966
Johnnie Cowan,819965
Roosevelt Cox,819964
Tom Cox,819963
Alphonso Cox,819962
James Cox,819961
Comer Cox,819960
Harry Cozart,819959
Homer Craig,819958
William Craddock,819957
Charlie Craig,819956
Hubert Crawford,819954
Sam Crawford,819953
Joe Craig,819952
John Crain,819951
Dewey Creacy,819949
Willie Creek,819948
Rogelio Crespo,819946
Alejandro Crespo,819945
Walter Crosby,819942
Frank Crockett,819941
Leroy Cromartie,819939
Will Crowder,819936
Deedy Crosson,819934
Norman Cross,819932
Martin Crue,819927
Jimmie Crutchfield,819926
Willis Crump,819923
James Crump,819922
Alex Crumbley,819921
Basilio Cueria,819919
Rafael Cruz,819918
Chance Cummings,819913
Charlie Culver,819911
Harry Cunningham,819908
Marion Cunningham,819905
Vernon Cunningham,819904
Homer Curry,819902
John Cunningham,819901
Willie Curtis,819900
Rube Curry,819897
Eggie Dallard,819894
James Dailey,819893
Lunie Danage,819892
Porter Dallas,819891
Richard Dandridge,819890
Ray Dandridge,819889
Troy Dandridge,819887
Eddie Daniels,819886
George Dandy,819884
George Daniels,819883
Lloyd Davenport,819882
Jim Daniels,819881
Pepper Daniels,819880
Charley Davidson,819875
Babe Davis,819863
Austin Davis,819862
Albert Davis,819861
G. Davis,819859
Frank Davis,819858
Butch Davis,819857
Bunch Davis,819855
Earl Davis,819854
Goldie Davis,819851
Horace Davis,819850
Jim Davis,819849
Jack Davis,819848
L. Davis,819847
Oscar Davis,819846
Leland Davis,819845
Johnny Davis,819844
Peanuts Davis,819843
Lee Davis,819842
Preacher Davis,819840
Robert Davis,819839
Quack Davis,819838
Lorenzo Davis,819837
Roosevelt Davis,819836
Spencer Davis,819835
Satchel Davis,819834
Steel Arm Davis,819833
Saul Davis,819832
Sherman Davis,819831
Leroy Dawson,819830
Johnnie Dawson,819828
Leon Day,819827
Connie Day,819826
Bobby Dean,819822
Jo Jo Deal,819821
Bill Dean,819820
Nelson Dean,819817
Yank Deas,819816
Alpheus Deane,819815
Charles Dean,819814
Robert Dean,819813
Roy Debnam,819812
Dusty Decker,819811
Lionel Decuir,819810
Russ Dedeaux,819808
Fred Delaney,819806
Art Demery,819801
Felle Delgado,819799
Alejandro Delgado,819798
Doc Dennis,819791
Joe Desiderato,819784
Denny Despert,819783
Kermit Dial,819782
Lou Dials,819781
Samuel Dewitt,819779
Fred Dewitt,819778
Heliodoro Díaz,819772
Fernando Díaz,819768
Pedro Díaz,819766
Martín Dihigo,819764
Steel Arm Dickey,819763
Rufino Díaz,819761
Edwin Dimes,819760
Arthur Dilworth,819758
Jimmy Direaux,819757
Lamon Dillard,819755
George Dixon,819754
Dizzy Dismukes,819752
Eddie Dixon,819749
Rap Dixon,819748
Glenn Dixon,819747
Johnnie Bob Dixon,819746
Steven Dixon,819744
Paul Dixon,819743
Tom Dixon,819740
Lacy Dock,819738
Justo Domínguez,819734
John Donaldson,819731
Lucius Dorsey,819726
Jesse Douglas,819721
Eddie Douglass,819719
Charles Dougherty,819717
Bunny Downs,819713
Valentín Dreke,819712
Andy Drake,819711
Reinaldo Drake,819710
Bill Drake,819709
LeRoy Drengberg,819705
Claro Duany,819704
Mahlon Duckett,819703
Eddie Ducy,819702
Ralph Ducy,819700
Tommie Dukes,819698
Bill Duffy,819697
Ed Dudley,819696
Ernest Duff,819695
Ashby Dunbar,819694
Louis Dula,819693
Vet Dunbar,819692
Bill Dumpson,819691
Lafayette Dumas,819690
Charles Dunklin,819689
Frank Duncan,819688
Joe Duncan,819687
Alphonse Dunn,819681
Herman Dunlap,819679
Eddie Dwight,819678
Jake Dunn,819675
Murray Dupuis,819674
William Dyke,819673
Howard Easterling,819672
A. J. Dykes,819670
Charles Earle,819668
Elbert Eatmon,819667
Joe Echols,819663
Juan Eckelson,819661
Chancelor Edwards,819658
Jesse Edwards,819657
Weedy Edwards,819656
Nat Edwards,819654
Tenny Edwards,819653
Jim Elam,819649
Mack Eggleston,819648
Harry Else,819646
Specs Ellis,819645
Jean Ellison,819644
Rocky Ellis,819643
John Emory,819641
Buster Emmett,819637
Louis English,819636
Charles England,819632
Luis Entenza,819629
Red Horse Etheridge,819626
Carlos Etchegoyen,819624
Francisco Escalante,819623
Wilmer Euell,819620
Bill Evans,819619
Clarence Evans,819615
Felix Evans,819614
Bob Evans,819613
Charley Evans,819612
Frank Evans,819608
Herm Evans,819607
Lloyd Evans,819606
James Evans,819605
Clarence Everett,819603
Jimmy Everett,819602
William Evans,819601
Ulysses Evans,819600
Buck Ewing,819599
Julián Fabelo,819598
Columbus Ewing,819597
Isidro Fabré,819596
John Fallings,819594
Bob Fagan,819592
Gerves Fagan,819591
Luther Farrell,819589
Selden Fant,819587
Greene Farmer,819585
Benny Felder,819584
Thomas Favors,819582
Buck Felder,819579
Bernard Fernández,819576
José María Fernández,819569
